Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,39350
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,49500
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,42455
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,36300
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,40195
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,43245
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,47000
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,39850
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,36800
,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,50305
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,27,1385,11965
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,,Compact,Sedan,34,27,1385,15365
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,27,1385,14100
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,,Compact,Sedan,34,27,1385,11965
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,,Compact,Sedan,34,27,1385,14100
,Aveo,2009,regular unleaded,107,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,27,1385,15365
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,15365
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,11965
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,14100
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,12115
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,15365
,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,14250
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,15365
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,12115
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,11965
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,14250
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,15365
,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,,Compact,Sedan,35,27,1385,14100
,Beretta,1994,regular unleaded,170,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,27,18,1385,2000
,Beretta,1994,regular unleaded,120,4,MANUAL,front wheel drive,2,,Compact,Coupe,31,22,1385,2000
,Beretta,1995,regular unleaded,120,4,MANUAL,front wheel drive,2,,Midsize,Coupe,33,21,1385,2000
,Beretta,1995,regular unleaded,160,6,AUTOMATIC,front wheel drive,2,Performance,Midsize,Coupe,27,18,1385,2000
,Beretta,1996,regular unleaded,120,4,MANUAL,front wheel drive,2,,Midsize,Coupe,33,22,1385,2000
,Beretta,1996,regular unleaded,155,6,AUTOMATIC,front wheel drive,2,Performance,Midsize,Coupe,27,18,1385,2000
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,39030
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,41675
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,44580
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,38625
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,47885
,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,35980
,Blazer,2003,regular unleaded,190,6,MANUAL,rear wheel drive,2,,Compact,2dr SUV,20,14,1385,20745
,Blazer,2003,regular unleaded,190,6,MANUAL,four wheel drive,2,,Compact,2dr SUV,18,13,1385,23745
,Blazer,2003,regular unleaded,190,6,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,21,15,1385,24695
,Blazer,2003,regular unleaded,190,6,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,17,13,1385,26695
,Blazer,2003,regular unleaded,,6,MANUAL,rear wheel drive,2,,Compact,2dr SUV,20,14,1385,22845
,Blazer,2004,regular unleaded,,6,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,19,14,1385,25230
,Blazer,2004,regular unleaded,,6,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,17,13,1385,27230
,Blazer,2004,regular unleaded,,6,MANUAL,four wheel drive,2,,Compact,2dr SUV,18,13,1385,24055
,Blazer,2004,regular unleaded,,6,MANUAL,rear wheel drive,2,,Compact,2dr SUV,19,14,1385,23255
,Blazer,2004,regular unleaded,190,6,MANUAL,rear wheel drive,2,,Compact,2dr SUV,19,14,1385,21055
,Blazer,2005,regular unleaded,190,6,MANUAL,four wheel drive,2,,Compact,2dr SUV,17,13,1385,24305
,Blazer,2005,regular unleaded,190,6,MANUAL,rear wheel drive,2,,Compact,2dr SUV,20,14,1385,21305
,Blazer,2005,regular unleaded,190,6,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,20,15,1385,25480
,Blazer,2005,regular unleaded,190,6,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,18,14,1385,27480
,Bolt EV,2017,electric,200,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,110,128,1385,40905
,Bolt EV,2017,electric,200,,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,110,128,1385,36620
,Camaro,2015,regular unleaded,323,6,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,28,17,1385,29205
,Camaro,2015,regular unleaded,323,6,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,28,17,1385,31205
,Camaro,2015,premium unleaded (required),580,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,19,14,1385,55505
,Camaro,2015,premium unleaded (recommended),426,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,24,16,1385,42405
,Camaro,2015,premium unleaded (recommended),426,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,24,16,1385,39505
,Camaro,2015,premium unleaded (recommended),426,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,24,16,1385,33505
,Camaro,2015,premium unleaded (recommended),426,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,24,16,1385,37305
,Camaro,2015,regular unleaded,323,6,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,28,17,1385,26005
,Camaro,2015,regular unleaded,323,6,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,28,17,1385,35105
,Camaro,2015,premium unleaded (required),505,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,19,13,1385,72305
,Camaro,2015,regular unleaded,323,6,MANUAL,rear wheel drive,2,,Midsize,Coupe,28,17,1385,23705
,Camaro,2015,regular unleaded,323,6,AUTOMATIC,rear wheel drive,2,,Midsize,Coupe,30,19,1385,25145
,Camaro,2015,premium unleaded (required),580,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Convertible,19,14,1385,60705
,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,48300
,Camaro,2016,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,30,21,1385,36800
,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,25,16,1385,41300
,Camaro,2016,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,30,21,1385,32700
,Camaro,2016,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,30,21,1385,25700
,Camaro,2016,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,30,21,1385,29800
,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,43300
,Camaro,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,25,16,1385,36300
,Camaro,2017,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,42905
,Camaro,2017,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Convertible,25,16,1385,47905
,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,30,20,1385,35605
,Camaro,2017,premium unleaded (recommended),275,4,AUTOMATIC,rear wheel drive,2,Performance,Midsize,Convertible,31,22,1385,32600
,Camaro,2017,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,25,16,1385,41905
,Camaro,2017,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,25,16,1385,36905
,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,30,20,1385,30405
,Camaro,2017,premium unleaded (recommended),275,4,AUTOMATIC,rear wheel drive,2,Performance,Midsize,Coupe,31,22,1385,26600
,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,30,20,1385,25905
,Camaro,2017,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Coupe,20,14,1385,61140
,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,30,20,1385,31905
,Camaro,2017,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Midsize,Convertible,20,14,1385,67140
,Caprice,1994,regular unleaded,260,8,AUTOMATIC,rear wheel drive,4,,Large,Wagon,23,15,1385,2000
,Caprice,1994,regular unleaded,200,8,AUTOMATIC,rear wheel drive,4,,Large,Sedan,24,16,1385,2000
,Caprice,1994,regular unleaded,200,8,AUTOMATIC,rear wheel drive,4,,Large,Sedan,24,16,1385,2000
,Caprice,1995,regular unleaded,200,8,AUTOMATIC,rear wheel drive,4,,Large,Sedan,24,16,1385,2000
,Caprice,1995,regular unleaded,260,8,AUTOMATIC,rear wheel drive,4,,Large,Wagon,23,15,1385,2000
,Caprice,1996,regular unleaded,260,8,AUTOMATIC,rear wheel drive,4,,Large,Wagon,24,15,1385,2000
,Caprice,1996,regular unleaded,200,8,AUTOMATIC,rear wheel drive,4,,Large,Sedan,24,16,1385,2000
,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24155
,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29615
,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25770
,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24940
,Captiva Sport,2014,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25145
,Captiva Sport,2014,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24360
,Captiva Sport,2014,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25975
,Captiva Sport,2014,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29495
,Captiva Sport,2015,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25985
,Captiva Sport,2015,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29505
,Captiva Sport,2015,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25155
,Captiva Sport,2015,flex-fuel (unleaded/E85),180,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24370
,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,4,,Compact,Sedan,30,22,1385,14230
,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,2,,Compact,Coupe,,22,1385,14030
,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,4,,Compact,Sedan,,22,1385,15730
,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,4,,Compact,Sedan,,22,1385,17030
Chevrolet,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,2,,Compact,Coupe,,22,1385,16830
Chevrolet,Cavalier,2003,regular unleaded,140,4,MANUAL,front wheel drive,2,,Compact,Coupe,,22,1385,15530
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,17410
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,16105
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,14435
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,15905
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,14235
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,17610
Chevrolet,Cavalier,2004,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,10135
Chevrolet,Cavalier,2005,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,16290
Chevrolet,Cavalier,2005,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,14610
Chevrolet,Cavalier,2005,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,16090
Chevrolet,Cavalier,2005,regular unleaded,,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,17510
Chevrolet,Cavalier,2005,regular unleaded,,4,MANUAL,front wheel drive,4,,Compact,Sedan,,23,1385,17710
Chevrolet,Cavalier,2005,regular unleaded,140,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,14410
Chevrolet,Cavalier,2005,regular unleaded,140,4,MANUAL,front wheel drive,2,,Compact,Coupe,,23,1385,10325
Chevrolet,Celebrity,1990,regular unleaded,135,6,AUTOMATIC,front wheel drive,4,,Midsize,Wagon,,17,1385,2000
Chevrolet,Celebrity,1990,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,,Midsize,Wagon,,20,1385,2000
Chevrolet,Chevy Van,1996,regular unleaded,195,6,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1996,regular unleaded,195,6,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1996,regular unleaded,195,6,AUTOMATIC,rear wheel drive,3,,Large,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1997,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Large,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1997,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1997,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,14,1385,2000
Chevrolet,Chevy Van,1998,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,13,1385,2050
Chevrolet,Chevy Van,1998,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Midsize,Cargo Van,,13,1385,2052
Chevrolet,Chevy Van,1998,regular unleaded,200,,AUTOMATIC,rear wheel drive,3,,Large,Cargo Van,18,13,1385,2116
Chevrolet,City Express,2015,regular unleaded,131,,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,23515
Chevrolet,City Express,2015,regular unleaded,131,,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,21955
Chevrolet,City Express,2016,regular unleaded,131,,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,23515
Chevrolet,City Express,2016,regular unleaded,131,4,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,21955
Chevrolet,City Express,2017,regular unleaded,131,4,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,22405
Chevrolet,City Express,2017,regular unleaded,131,4,AUTOMATIC,front wheel drive,4,,Compact,Cargo Minivan,26,24,1385,23515
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2949
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2992
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2529
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2580
Chevrolet,C/K 1500 Series,1997,regular unleaded,230,8,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,19,14,1385,2668
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2583
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,20,15,1385,2637
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,20,15,1385,2517
Chevrolet,C/K 1500 Series,1997,regular unleaded,230,8,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,17,11,1385,3046
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2265
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,18,14,1385,3046
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,20,15,1385,2896
Chevrolet,C/K 1500 Series,1997,regular unleaded,230,8,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,19,14,1385,2891
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,20,15,1385,2713
Chevrolet,C/K 1500 Series,1997,regular unleaded,230,8,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,17,11,1385,3120
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2653
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2541
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2486
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2268
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2207
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,18,14,1385,2925
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2242
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2554
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,18,14,1385,3088
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2749
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,18,14,1385,3220
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,14,1385,2996
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,20,15,1385,2366
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,19,14,1385,3265
Chevrolet,C/K 1500 Series,1998,regular unleaded,230,8,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,17,12,1385,3676
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,19,14,1385,3427
Chevrolet,C/K 1500 Series,1998,regular unleaded,230,8,MANUAL,four wheel drive,2,,Large,Extended Cab Pickup,17,12,1385,3470
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,21,16,1385,2898
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,19,14,1385,2920
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,21,16,1385,2580
Chevrolet,C/K 1500 Series,1998,regular unleaded,230,8,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,18,13,1385,3357
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,21,16,1385,2996
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,19,14,1385,2883
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,21,16,1385,3094
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,,Large,Regular Cab Pickup,21,16,1385,2885
